Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Brand Ambassador,$25K-$69K (Glassdoor est.),"Seeking Brand Ambassadors to work helping in school activations. This program is a little different than your regular promotional gig. The client will like to interview the candidates and pick 4 BAs to consistently work on these and you will have a paid training for these programs. These promos are fun and they mean something for the good of others.

DATE/LOCATIONS/TIMES:
3.23, Springfield, VT, 10am-3pm $32/hr
3.24, St. Albans, VT 10am-3pm $24/hr

ROLES:
Brand Ambassador - $32/hr (Springfield, VT) oe $24/hr (St. Alban, VT)
• MUST have an outgoing personality, excellent verbal and people skills
• MUST be able to collaborate and adjust
• MUST BE ABLE TO DO A Quick 15MIN INTERVIEW WITH THE CLIENT
• MUST BE ABLE TO TAKE AN ONLINE TRAINING AND PASS IT (you will be PAID) - $40 Paid to each staff for this training

All interested - please reply ASAP with ALL of the following info:
Full name
Contact number and mailing address
Please provide 2-3 good head shot/ body shot photos of yourself
Provide a resume or list your experience
Confirm you have reliable transportation
Confirm you are okay with taking an Online training – this is a MUST!
Confirm that you can work both days and both locations
Provide your T-shirt size",3.5,"GTE Agency
3.5","Burlington, VT","Los Angeles, CA",1 to 50 employees,-1,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1
Brand Ambassador,$25K-$69K (Glassdoor est.),"Brand Ambassador Job Description & Requirements
A motivated Inside Sales Rep searching for the Next Big Thing and better compensation
An experienced sales consultant eager to get in on the solar energy boom
A planet advocate who wants to do good while doing well financially
If that sounds like you, then we need to talk right now, because we are hiring! And achievers like you know that opportunity doesn’t wait. We are Ameriquest Solar, a visionary energy company making its mark in the rapidly growing solar industry, located in prosperous Northern California. But before we tell you more about us (and there is a lot to tell), let’s talk about you and what you can expect from a position with Ameriquest Solar.

What’s in it for you
Industry-leading compensation: salary, bonuses, commission and cash spiffs!
Not just a job, a career. This industry taking off, so we’re looking for fellow visionaries who see the potential and are in it for the long haul. We’ll help you grow with us.
A full benefits package for full-time employees that includes Healthcare with dental, vision, a 401k and more (see below).
A fun, inspiring work culture, filled with upbeat people excited about doing meaningful work. Sure, we’re driven to generate sales; but we’re also driven by our values, which start with how solar energy benefits our customers and the earth.
Warm leads only. We’ve done the hard part, developing a huge database of qualified prospects. You’ll spend your time consulting customers, closing sales and collecting commissions!
Grow with a leader in a thriving industry. We’re playing to win in solar energy, and we’re ready to help you do the same. We provide our teams with sales training, customer support, solar industry research, and all the latest sales and office technology.
Sound good so far? Then here’s more about us.

About Ameriquest Solar
Ameriquest Solar is one of the fastest-growing residential roofing and solar installation companies in Northern California. A full-service provider, we offer roofing and re-roofing services, install solar power systems and deliver solar services and battery backup solutions. But the reason we do all that and more is not just because it’s profitable. It’s also ethical. If it excites you to know that what’s good for your customers is good for the planet, you’ve come the right place. We’re on mission to provide sustainable sources, while running a socially and environmentally conscious business.

Your Role


Working with the Sales Manager, the Brand Ambassador converts warm leads into appointments, along . with a variety of CRM duties to close sales. The ideal candidate will enjoy selling, is motivated by hard work and high earning potential, is dedicated, and is a team player. In addition, they will have a high attention to detail and a genuine care to their work. Most importantly, the ideal candidate will be able to maintain a high level of business ethics.

Responsibilities
Acquire a knowledge of generating leads by canvassing neighborhoods and educating homeowners on saving money by going solar
Educate customers about solar power and Ameriquest’s products and services
Build positive relationships to generate future sales, repeat business and leads
Manage customer relationships to achieve sales goals and execute sales plans in an assigned sales territory or account
Provide leadership and mentoring to less experienced sales representatives
Hold self and others accountable to meet commitments – following up with teammates
Build customer confidence and trust through honesty, integrity, and authenticity
Guide quality prospects through the solar installation process
Skills and Qualifications
A minimum of 1 years of prior sales experience
Possess strong writing, speaking, and interpersonal skills
Energetic, friendly and engaging personality
Preferred but not mandatory, Solar and or Roofing industry knowledge
High school diploma or GED required
Experience with Excel, Word, and Outlook is a must
Phone sales experience preferred
Salesforce experience a plus!
Benefits for Full Time Semper Employees
Competitive Salary + Bonuses, Commission and Cash Spiffs!
Work life balance!
Full benefits package includes:
Medical
Dental
Vision
401k
Voluntary Life & AD&D Insurance
H.S.A.
Employee Assistance Program
Paid sick and vacation time
Career path opportunities for top performers!
Free department funded lunches and snacks
Ameriquest Solar is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex including sexual orientation and gender identity, national origin, disability, protected Veteran Status, or any other characteristic protected by applicable federal, state, or local law.",4.6,"Ameriquest Solar
4.6","Hayward, CA","Hayward, CA",1 to 50 employees,2016,Company - Private,Energy,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable,-1
Brand Ambassador,$25K-$69K (Glassdoor est.),In the Brand Ambassador phase you will learn how to effectively execute an in-store marketing campaign for one of our Fortune 500 Clients. The Brand Ambassador is usually the first line of contact for new and existing customers so a big part of the Brand Ambassador phase is customer service. Once this is learned the Brand Ambassador will then help manage their own in-store marketing campaign.,4.4,"J-MO Marketing
4.4","Springfield, MO","Springfield, MO",1 to 50 employees,2012,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1
Ambassador,$25K-$69K (Glassdoor est.),"Ramiiisol Vineyards, leading producer of Authentic Natural Fine Wines in Virginia, is seeking a detailed, enthusiastic and intelligent wine-loving person to be our Ambassador.
The right candidate will take full ownership of marketing, public relations, sales, customer liaison and administration. Our candidate will represent our brand and image, and take full charge of growing Ramiiisol into a prestigious international brand.
We are a small, hands-on team of exceptionally dedicated and talented individuals committed to the fulfilment of Thomas Jefferson’s dream to produce world class natural authentic Virginia wines. Our chosen candidate must be willing to participate in all phases of our wine growing ebbs and flows of daily life as nature requires and become an integral positive force within our group. Our candidate must accept work schedule flexibility and be prepared to work weekends. Overseas travel will be required.
The ideal candidate will have the following skills and experience
An undergraduate degree coupled with relevant professional qualifications.
Proficiency in the English language and excellent writing skills
A minimum of three years experience in sales/marketing or public relations for a prestigious brand.
Good working knowledge of global wines and winegrowing.
Strong organisational skills with excellent attention to detail.
Imaginative, flexible and highly motivated as well as keen to develop new skills and expertise.
A high level of competence in Microsoft Office and other complimentary software.
An ability to build relationships with a diverse group of people and communicate about wine with confidence.
Proficiency in a foreign language would be beneficial (ideally Spanish or Italian)
Pro-active, creative and a leader",-1,Ramiiisol Vineyards,"Charlottesville, VA","Free Union, VA",Unknown,-1,Unknown,-1,-1,Unknown / Non-Applicable,-1
Brand Ambassador,$25K-$69K (Glassdoor est.),"We are looking to bring on a few Brand Ambassadors to join our team. The main goal is to help us bring in users on our new sport fan / athlete dating app. The role is commission only but is uncapped. Strong social media presene is preffered but not required. You will get commission off of the people who download DraftMate.

Responsibilities:

Oversee and coordinate product development and marketing trends
Determine product demand and customer awareness
Coordinate marketing campaigns with sales activities
Monitor and report on customer satisfaction

Qualifications:

Previous experience in marketing or other related fields preferred
Self starter
Strong project management skills
Strong leadership qualities
Deadline and detail-oriented

If you are interested please download DraftMate in the App store and check out our website MyDraftMate.com to better understand the app.",-1,DraftMate,Remote,-1,Unknown,-1,Unknown,-1,-1,Unknown / Non-Applicable,-1
Spokesmodel Brand Ambassador Business Representative,$25K-$69K (Glassdoor est.),"We are seeking an ambitious, attractive, photogenic, and well-spoken individual to become a Spokesmodel/Brand Ambassador Business Representative for our company. In this position you will be the face and voice of the company influencing the decisions of customers and colleagues in the industry.

Responsibilities
Learn the products, services and processes we provide to the real estate and mortgage lending industries.
Be the lead influencer of the company's brand and message.
Discuss strategy with management to best increase sales in the marketplace.
Learn the tools and tasks needed to intake a customer order and bring it to closing.
Be the point person for phone conversations related to our services.
Meet and great all visitors to our office in Center City Philadelphia.
Produce and host a weekly video blog about topic of interest to the industry.
Attend and manage marketing events as our promotional model.
Record concerns and feedback from customers and staff.
Attend educational and training events to stay well informed of key information pertinent to the industry.
Qualifications
Attractive, well-dressed, and well-groomed individual an outgoing positive personality that presents well in video and in person.
Excellent written and verbal communication skills.
Some experience with short-form mobile video; You-Tube, TikTok
Knowledge of Adobe video editing tools is a plus!
Keyboarding skills for efficient order entry.
Willingness to travel to attend industry events during days, evenings and weekends
A valid Driver's License
Ability to lift 50+lbs
Expectations
You will gain sufficient knowledge to obtain licensing as a Title Producer in Pennsylvania and New Jersey with one year.
You will apply for a Notary Public commission within 90 days of employment.
Salary considerations
The qualified candidate can expect to work at least 40 hours per week, usually Monday through Friday from 8am to 5pm; with a one hour lunch break. Shift will adjust as needed to attend events.
Hourly rate between $16.50 and $18.00 per hour.
Possible commission on sales once licensed.
Please submit a personal video of not more than 45 seconds introducing yourself and making a convincing argument to consider you for this opportunity (showcase you ability to influence). Video should present you in both a standing position and a closeup.",4.6,"Liberty Bell Agency
4.6","Philadelphia, PA","Philadelphia, PA",51 to 200 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
Creative Brand Manager,$25K-$69K (Glassdoor est.),"The Creative/Brand Manager is the creative curator and brand steward for all corporate marketing initiatives of Defined Fitness. You will bring to life the unique and compelling brand attributes through innovative and creative design solutions that engage our target audiences across multi-media communication channels. With a focus on excellence, you will play an active role in the creative development, planning and implementation of all Defined Fitness marketing.
The Creative/Brand Manager will collaborate with Defined Fitness leadership to provide creative solutions to meet strategic objectives and revenue goals. With unyielding passion and infectious positivity, you will create, protect and develop the Defined Fitness brand and serve as an ambassador for the brand, both at work and in our community. The Creative/Brand Manager will be the lead designer and develop all advertising and marketing.
You will oversee the creation of art, photo, video and layout design. You will establish and implement design and format standards and processes to produce consistent and high quality results. You will manage the Marketing Specialist staff in the day-to-day performance of their jobs.
Essential Functions & Responsibilities
o Concept and design multi-media marketing solutions, including but not limited to, logo development, branding campaigns, signage, print collateral, direct mail, external and internal advertising campaigns, website, social media and digital graphics
o Develop strategies and manage marketing campaigns across print, broadcast and online platforms to ensure that all products and services exceed expectations and build the credibility of the brand
o Manage the development and implementation of marketing projects from design concept to bidding and estimates, production and final execution
o Develop and maintain a unique brand position and manage brand standards for the corporate brand
o Maintain current on emerging media, design standards and industry trends
o Effectively communicate creative solutions while providing and accepting feedback regarding marketing projects
o Ensure project and departmental milestones and goals are met and adhere to approved budgets
o Oversee estimating, bidding, production and installation of all marketing projects
o Organize and participate in events to build and promote the brand including but not limited to grand openings, special events, promotions, photo shoots, etc.
o Manage and oversee the success of the Digital Marketing Specialist
o Provide leadership and guidelines to ensure consistency of the brand across all digital platforms
o Develop timelines, manage project workload and ensure deadlines are met
o Other duties as assigned
Qualifications
o Advanced proficiency with Adobe Creative Suite, specifically Photoshop, InDesign and Illustrator, advanced proficiency with Microsoft Office Suite. Web design knowledge, preferred
o College degree in graphic design and/or 5-10 years graphic design experience
o 1-3 years supervisory experience
o Experience with and understanding of market research
o Excellent design skills and conceptual ability
o Creativity and ability to produce innovative ideas
o Ability to work well with teams in multiple interdisciplinary departments
o Demonstrated ability to develop designs from conception to production
o Demonstrated ability to sustain high productivity, attention to detail and meet tight deadlines
o Detail oriented, well organized, able to handle multiple projects at any given time and comfortable working in a fast-paced environment
o Excellent oral and written communication skills
o Ability to think innovatively, creatively and strategically
Physical Requirements
o Must be able to sit for extended periods of time
o Must be able to lift and carry approximately 25 pounds
o Must be able to perform the following tasks: walk, squat, bend, stoop, stand, listen, read and write",4.0,"Defined Fitness
4.0","Albuquerque, NM","Albuquerque, NM",501 to 1000 employees,1988,Company - Private,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable,"New Mexico Sports & Wellness, Planet Fitness"
Brand Ambassador,$25K-$69K (Glassdoor est.),"Join the Nation’s #1 Outdoor Remodeler as awarded by Qualified Remodeler for the past 4 years! Experience our amazing culture where we encourage personal development and growth paving the way to success. Find out more about us by visiting our website: www.systempavers.com

Take a moment to hear what our team has to say about working at System Pavers!

The number one pavers company is looking to add motivated, ambitious Brand Ambassadors to our marketing team. This is a part-time position, where you will be called on an as-needed basis dependent upon the calendar of events. Most events are on weekends, though certain events have weekday shifts available for those with more flexible schedules. Our Brand Ambassadors earn $15/hour plus excellent bonus/incentive opportunities. Successful Brand Ambassadors can make upwards of $20/hour when adding bonuses and incentives.

Successful candidates MUST:
Be able to walk and stand for extended periods of time
Be personable, outgoing, and energetic
Be 18 years of age or older
Have a positive attitude, strong work ethic, and the desire to succeed
A background check will be conducted for this position

System Pavers is an equal opportunity employer of all qualified individuals; including minorities, women, veterans, and individuals with disabilities, and regardless of sexual orientation or gender identity. System Pavers will consider for employment qualified applicants with criminal histories in a manner consistent with all federal, state, and local ordinances.",4.1,"System Pavers
4.1","Santa Ana, CA","Santa Ana, CA",201 to 500 employees,1992,Company - Private,Construction,"Construction, Repair & Maintenance",$100 to $500 million (USD),"Black Diamond Paver Stones & Landscape, Modern Builders Supply, Genesis Stoneworks"
Brand Manager Stranahan’s Single Malt Whiskey,$25K-$69K (Glassdoor est.),"The Brand Manager will develop consumer and commercial strategies, develop creative platforms and programming, execute plans and evaluate performance in line with Proximo’s long term performance goals.

Responsible for managing consumer marketing budget with the following responsibilities:
Manage annual brand planning cycle. Plan and implement highly focused brand plans that focus on fewer, bigger growth drivers / ideas.
Creativity and cut through versus competitors is essential. Marketing programming must win the hearts and minds of target consumers.
Manage marketing agencies and inspire them to deliver their most creative, efficient and on-strategy work. Ensure maximum collaboration between agencies for full 360 marketing plans - fully-integrated consumer campaigns – advertising development, PR, in-store, social media, influencers, video (traditional TV and other channels), experiential, etc.
Understands the key drivers to build the brand in the on premise (bars, restaurants, etc.) vs. off-premise (liquor, club store, grocery, etc.)
Track and manage brand performance across the marketing mix, assist with KPI development across the marketing mix, as well as traditional sales metrics (Nielsen, NABCA, NPD, ROI, brand P&L)
Manage multimillion dollar A&P budget and maximize the impact of spend
Develop break-through innovations and line-extensions which will require sub strategies, concept and liquid development, launch plans and performance evaluation.
Prioritization of, planning for and investment in geographic, channel, variant and size mix strategies
Work closely with the distillery and production team to align on activity at brand home, and within Colorado
Work with our sales team and distributor partners to generate and build excitement for the trade.
Develop marketing tools for the National sales-team - absolutely key to have a strong relationship with this group - understand sales issues, and work with the team so our distributor network give our brands the greatest possible attention.
Work with distillery marketing manager to drive consumer, customer, distributor and influencer traffic to the distillery
Ideally has experience with ultra-premium spirits ($50+ per bottle) and the nuances for effective marketing over mainstream spirits marketing
Knowledge and Experience
4+ years of brand management experience preferably related to the Spirits Industry or FMCG.
Experience with managing budgets, working with creative agencies, developing new packaging and a solid working knowledge of Nielsen.
Up-to-date on marketing trends, new media platforms and benchmarking with other industries
Understanding consumer insights and aligning all strategies to feed these needs
Excellent presentation and communication skills
Analytical skills- identify the full story and define implications from data analysis
Forward thinker, who proactively seeks opportunities and proposes solutions.
Positive attitude and influence.
Ability to lead and manage projects with cross-functional teams across the company and our distributor network.
Team oriented player that thrives in a collaborative environment.
Proficient in Excel, PowerPoint and Word
Bachelor's degree in marketing or related field (required); advanced degree (preferred)",3.0,"Proximo Spirits
3.0","Jersey City, NJ","Jersey City, NJ",51 to 200 employees,-1,Company - Private,-1,-1,$100 to $500 million (USD),-1
Content and Brand Marketing Manager,$25K-$69K (Glassdoor est.),"Content and Brand Marketing Manager

Current is a New York-based FinTech that uniquely connects people and their money to friends, family, brands, and experiences. We are a bank for modern life that delivers money faster, gets people paid quicker, and provides tools to help manage spending, savings, and bills.

To support our growing business, we're looking for a Content and Brand Marketing Manager to work closely with product, engineering and design teams to build and execute programs focused on driving growth. The ideal candidate will be responsible for the day-to-day operations of our social channels, our blog and push/email messaging as well as driving organic growth by managing our PR strategy, SEO/Content Strategy, Brand Ambassadors, and helping craft our overall Brand Strategy. The Content and Brand Marketing Manager will be responsible for ensuring that we adhere to our own brand guidelines as we communicate with our own customers and the outside world. The ideal candidate is a self-starter who is a creative problem solver, thrives under pressure, enjoys fast-paced work and is motivated by success.

Qualifications
Candidates should have 4+ years of consumer marketing experience, including 2-4 years of hands-on experience managing non-paid organic growth channels.
Ideal candidates will have experience developing and executing successful social, content, SEO and PR strategies to drive growth.
Strong analytical skills; must be proficient in analyzing and interpreting data from third-party platforms and adapt to custom internal tools.
Strong Creative and Copywriting skills; must be able to develop content independently as well as with external publishers.
Bonus: Experience working with Mobile Apps, D2C Brands, Brand Ambassadors or Social Influencers.
Responsibilities

Developing and managing content on all Social Media Channels, including day-to-day strategy, calendar development and coordination.
Researching and writing articles on both our own blog, newsletter and other external resources (LinkedIn, Medium, etc.).
Assist in developing Brand Strategy and implementing it across all marketing channels.
Find and manage external content creators and influencers.
Develop and Manage SEO best practices across all content marketing.
Tracking and reporting on performance impact of all content and social marketing.",-1,Current,"New York, NY","New York, NY",1 to 50 employees,2015,Unknown,Banks & Credit Unions,Finance,Unknown / Non-Applicable,-1
