Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Associate Creative Strategist,$29K-$52K (Glassdoor est.),"SUMMARY OF POSITION

The Associate Creative Strategist is a key member of the Creative team, focusing on supporting the development of insightful, big ideas that exceed client expectations, achieve results and win business for the agency. Associate Creative Strategist demonstrate exceptional clarity around research and show an ability to generate strong insights from that research in order to drive creative thinking. This role also must show an affinity for creative ideation and actively contribute unique ideas to brainstorms and concept development.

Associate Creative Strategists assist senior Creative team members in organizing multiple contributors, helping to manage and copy write large scale RFP responses and project concepts. This position will also independently drive concept development for select projects and RFPs, working in collaboration with other Creative team members (Design & Digital) as well as cross-departmental teams in Account and Production.

ESSENTIAL JOB FUNCTIONS

RESEARCH & INSIGHTS
Conducting research from a variety of sources, including primary research such as focus groups and interviews as well as secondary research from databases and industry sites, for projects & RFPs.
Developing insights from research that inform and fuel creative brainstorms.
Proactively researching client brands and industry trends to support Creative and Account teams in building organic and new business opportunities.
RFP RESPONSES & CONCEPT DEVELOPMENT
Developing measurable objectives and Key Performance Indicators to help ground and guide overall concept and proposal development.
Identifying key insights for creative concepting and brainstorms.
Contributing to the development of big, brave creative ideas as part of RFP responses and Concept Development phases of won business.
Crafting well-articulated plans and points of view, including comprehensive pitch decks for select opportunities and projects that include clear insights, strategies and creative concepts in a thoughtful, compelling and cohesive storyline. Support more senior Creative team members in this process for large opportunities and projects.
Managing multiple stakeholders as part of the proposal development process, supporting the organization and creation of concept decks, monitoring and collecting content deliverables across the cross-functional team.
Collaborating with Design team members to create cohesive and visually-inspiring presentations.
Participating in client pitch presentations as needed.
MEASUREMENT & ROI
Developing Measurement Plans for new and ongoing proposals and projects, discerning measurable objectives and Key Performance Indicators related to hose objectives, as well as identifying data collection methods for capturing data related to each KPI.
Supporting the Account team in collecting and analyzing KPI-related data in efforts to calculate ROI/ROE and provide insightful recommendations to improve and optimize our project executions.
OBE MARKETING SUPPORT
Monitoring industry trends for the agency (experiential and marketing trends) to share out internally as well as contributing to external agency thought leadership
Assisting Marketing Coordinator and New Business teams in creating targeted capabilities presentations for specific clients by leveraging case study library and capabilities overview.
Contributing to OBE Social Media presence in collaboration with Marketing Manager and Digital Content Marketing Manager.
Supporting internal brand marketing initiatives in collaboration with VP People & Operations as needed.
DAY TO DAY TASKS COULD INCLUDE:
Overall Strategy & Creative team support
Participating in client discovery calls
Architecting and presenting capabilities
Copywriting support for both internal and project-specific deliverables (i.e. email marketing copy, signage copy support, etc.)
DESIRED SKILLS AND EXPERIENCE

EDUCATION

Bachelor's Degree in Marketing, Advertising, Communications, Business Administration or related field.

EXPERIENCE
Minimum of 2 years agency experience.
Experience in event/experiential marketing to include generating ideas and concepts for innovative programs.
Advanced education degrees will be considered to supplement candidate's work experience.
KNOWLEDGE, SKILLS AND ABILITIES
Excellent research and insight development skills.
Strong creative and proposal writing skills.
Excellent client presentation skills.
Ability to understand client's business issues.
Deep knowledge in brand positioning, awareness and consideration.
Firm understanding and familiarity of working with Brand Guidelines and Style Guides.
BIG thinker, strategic in your approach.
Up-to-date on current media, industry and consumer trends that affect audiences.
Strong understanding of social media marketing.
Ability to travel.
OTHER QUALITIES AND SKILLS
Strong work ethic and ability to thrive and enjoy a fast-paces dynamic work environment.
Entrepreneurial spirit with the ability to work as part of a team as well as independently.
High energy and flexibility in working non-traditional hours as needed (some nights and weekends).",3.6,"On Board Experiential Marketing
3.6","Los Angeles, CA","Sausalito, CA",51 to 200 employees,1995,Company - Private,Advertising & Marketing,Business Services,$50 to $100 million (USD),-1
Designer (Digital),$29K-$52K (Glassdoor est.),"SUMMARY OF POSITION

The Designer (Digital) is an integral member of the Creative Department, primarily responsible for the creation of immersive digital experiences for both live and virtual events for a range of brands. This consists of driving the design process, integrating with strategists and designers from within the Creative team, and collaborating with internal cross-functional teams, and external partners to ensure client needs are being met with premium design ideas and creative solutions. The Designer (Digital) will be a critical component in the generation of 360 marketing campaigns, developing art direction and new branding, creating still and motion graphics, and other creative tasks as assigned.

The hands-on nature of event marketing work requires a willingness to observe, adapt, research, explore, execute, revise, and refine creative elements in a fast-paced environment. The superstar that fills this role will embrace interdisciplinary creative projects, multi-tasks with ease, have an insatiable appetite for design, thrive when working with top-notch brands, and have an excellent attitude that inspires others.

ESSENTIAL JOB FUNCTIONS
CONCEPTING: Offer strategic design solutions and create working drawings, storyboards, layouts, mood boards, and mockups to evaluate and present ideas in initial project phases.
DESIGN: Generate top notch designs across existing and emerging digital and experiential platforms. Create 2D and/or 3D designs to demonstrate concepts in support of strategies developed for assigned projects. Efficiently manage presentation documents, digital assets, print assets, and all other creative components on assigned projects.
PRESENTATION: Develop presentation skills by being involved in both internal and client presentations and conversations.
INTERNAL COMMUNICATION: Coordinate with internal teams leading up to and during activations to ensure approved creative materials are delivered on a timely basis, always maintaining consistency and quality.
EXTERNAL COMMUNICATION: Coordinate with outside resources, including vendors, printers, and contractors as needed for completion of the design and build out. Coordinate with freelance or contract creatives, supporting their integration into the team and streamlining design deliverables for client when relevant.
PROJECT & TIME MANAGEMENT: Work with cross-functional teams to establish and manage creative deliverable timelines to ensure work is on-time and of high quality.
INSPIRE: Seek out inspiration and share insights with internal teams to help educate and inspire.
DESIRED SKILLS AND EXPERIENCE

EDUCATION

Bachelor's Degree in Graphic Design, UI/ UX design, Product Design, or similar discipline.

EXPERIENCE
2+ years experience as a digital designer creating digital assets (websites, banner ads, marketing emails, social media content, apps etc.)
Strong portfolio of creative work to demonstrate design for both digital + physical applications, +mobile or interactive design skills.
ESSENTIAL KNOWLEDGE, SKILLS AND ABILITIES
2D DESIGN: Expertise in Adobe CC (Photoshop, Illustrator, InDesign, etc.), proficiency required. Knowledge of print file prep, printing techniques and materials is a plus.
UI/ UX: Experience in design prototyping tools (Adobe XD, Sketch, etc. ) + working knowledge of HTML and CSS. Knowledge of JavaSCript and other coding languages or software is a plus.
MOTION GRAPHICS + VIDEO EDITING: Expertise in After Effects, Final Cut Pro, Premiere, or similar animation and editing software.
SOCIAL MEDIA + INFLUENCER: Understand the ideation, development and deployment of content for Instagram, Facebook, Twitter, LinkedIn, etc. PRESENTATION: Keynote, Powerpoint, Google Docs/Slides, proficiency required.
ADMIN: Microsoft Office, Google Docs, Dropbox, proficiency required.
OTHER QUALITIES AND SKILLS
Possess excellent organizations, interpersonal, and written communication skills.
Articulate design solutions to team members and clients effectively.
Translate strategic vision into tangible project design deliverables that meet project needs and garner approvals.
Multi-task while coordinating multiple projects + resources.
Embody a strong work ethic and ability to thrive in a fast-paced and dynamic workplace.
Make smart decisions in accordance with company policies + procedures.
Be a team player who collaborates easily + brings creative momentum to projects.
High energy and stamina and flexibility in working non-traditional hours as needed (some nights and weekends).",3.6,"On Board Experiential Marketing
3.6","San Francisco, CA","Sausalito, CA",51 to 200 employees,1995,Company - Private,Advertising & Marketing,Business Services,$50 to $100 million (USD),-1
"Tour Manager, Luxury Brand – National Driving Experience",$29K-$52K (Glassdoor est.),"THE JOB / Tour Manager,
Luxury Brand – National Driving Experience

EXPERIENCES / Responsible for planning and executing event and experiential marketing
programs.
The Tour Manager will assist the National Program Management
team based out of Stamford, CT in the execution of a nationwide driving
program running from May through September 2020.

The tour will consist of (4) teams that will each travel
to dealerships across the country and facilitate driving events that provide a
unique “behind the wheel” experience for consumers. Each team will consist of
(6) members including (1) designated Tour Manager.

Events will take place on both
weekdays and weekends; travel days as well as off days are built into the
schedule. Tour lengths will vary – exact tour routes and dates are not yet
finalized. All staff members will participate in a mandatory multiple-day
training session on the luxury automotive brand and event logistics prior to
departing for tour.

The Tour Manager will be
specifically responsible for leading their team and overseeing all aspects of
the tour schedule, logistics, and execution of daily events. The Tour Manager
will also be responsible for daily communication with the Management Team in
Stamford, CT, as well as advance communications with dealerships. The Tour
Manager is also expected to assist in all aspects of event execution on-site.
THE WORK YOU’LL DO
Oversee
and assist in executing all on-site activities
Ensure
that tour staff is meeting all event execution expectations
Communicate
in advance with hosts of upcoming events
Serve
as a direct liaison between management staff in Stamford, CT and tour
team members
Responsible
for maintenance and security of all tour equipment
Set
daily schedules and assignments
Oversee
and verify all staff hours logged
Answer
product related questions
Review
and approve weekly submitted expense reports
Diplomatically
solve any personnel issues within the tour team
Ensure
that event attendees have a positive and engaging experience while
on-site
Other
related duties as reasonably assigned
THE BIGGER TEAM YOU’LL JOIN

Where
others see complexity, we see possibility.

Octagon is the global sports,
entertainment and experiential marketing arm of the Interpublic Group. But if
that classification doesn’t do it for you, and it shouldn’t, let’s take it a
step further.

We are what we believe. And we believe
that while the world of sports and entertainment is full of opportunities and
possibilities, sometimes the amount of choice can seem a little overwhelming.
Even daunting.
That’s where we come into play.

At Octagon we inspire brands, talent, and
our people to see the world for all its potential. We then help break down the
complexity and push forward so you can make your next right move.
WHO WE’RE LOOKING FOR
You
have a passion for and expertise in sports, entertainment, gaming, music
and/or celebrity culture
Passion
for luxury automotive a strong plus
4-5
years’ worth of previous tour management experience with a luxury brand
Bachelor’s
degree in a related field
Strong
onsite management skills
Excellent
verbal and oral communication skills
Presentation
or public speaking experience a plus
Ability
to handle multiple tasks simultaneously
Capacity
to become knowledgeable on our client’s industry, brand and product
offerings
Ability
and comfort level to communicate with consumers, potential consumers or
fans in an event setting
Willingness
to travel extensively (including weekends and holidays) for weeks at a
time
Strong
ability to work as part of a team, demonstrate initiative and solve
problems effectively and independently
Proficiency
with Microsoft Office Software (specifically PowerPoint, Excel and Word)
Valid
driver’s license and clean driving record
Octagon is proud to be an Equal
Opportunity/Affirmative Action employer. All qualified applicants will receive
consideration for employment without regard to race, color, religion, sex,
sexual orientation, gender identity, national origin, citizenship, disability,
protected veteran status, or any other basis prohibited by law.",3.9,"Octagon
3.9",United States,"Stamford, CT",501 to 1000 employees,1983,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"IMG Worldwide, WME, GMR Marketing"
Freelance Presentation & Event Designer,$29K-$52K (Glassdoor est.),"JPL’s Live Experience Design team creates large- and small-scale live experiences, experiential marketing, and digital presentations for a host of clients across the world.
We are looking for a freelance designer who has the ability to translate complex information into visually stunning and impactful presentations. In addition to designing top-notch presentations, you’ll have the opportunity to work on many aspects of event design including theming and space design.
You are able to digest complex processes and reimagine them into simple visuals
You have some experience designing presentations but want to collaborate with an experienced team to learn all the tricks of designing stellar decks in PowerPoint
You understand the importance of an in-person experience at events or conferences and want to learn what goes in to making it all happen
You jive with strategists, designers, creative, tech, motion artists, account management, and clients to ensure creative vision is carried through
You’re a balanced left-brain / right-brain thinker with the ability to think in the clouds and quickly land ideas into the practical world
You’re an outgoing people person
You welcome other’s opinions and input and are constantly looking for ways to make your designs even better
You’re great as a cross-functional team player and understand the “all hands-on deck” mentality
A fast-past environment is your comfort zone, and you’re capable of moving rapidly between mediums, projects, and tasks
You thrive and stay cool as a cucumber under pressure
You’re never satisfied with the work but have the ability to move on and put effort toward improving the next piece based on what you just learned
You totally get the importance of beautiful typography and hierarchy of design
You wish every presentation you saw was as badass as your favorite TED Talk

The skills you bring:
Experience with Adobe Creative Cloud programs (e.g. Photoshop, Illustrator and InDesign)
Proficiency with Microsoft Office and Acrobat
You understand the importance of great customer service
Designing in PPT doesn’t scare you
Positive can-do attitude and excited to venture into new realms of the design world
Great organization and communication skills
Are you experienced?
2+ years of experience working as a designer in any medium
Associate degree in a design-related field
Portfolio of work showcasing your designer chops, specifically, how you translate the complex into a cohesive story or theme
Applications must include a portfolio of work samples. Résumés received without work samples will not be considered.

What the work may look like:
Collaborate with account managers and strategists to understand the goals of a specific presentation or event
Participate in brainstorming the big idea for presentations or events and help plan how the team can bring it to life
Work with senior presentation designers to develop design themes and templates in PPT
Concept and design print pieces that tie into the overall theme to be used throughout the event space
Getting creative with Photoshop to mockup event signage within a space
Think through how attendees will flow through the event space and translate insights into all the interaction points: pre-event, during the event and post-event
Collaborate with senior designers and motion teams to create stunning content in PPT that make the presenter shine onstage
Tell compelling stories through the visuals you create in PPT",4.0,"JPL
4.0","Harrisburg, PA","Harrisburg, PA",51 to 200 employees,1989,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),-1
Experiential Event Producer,$29K-$52K (Glassdoor est.),"What you will be doing:

Managing both internal and external event production utilizing audiovisual technology for various events serviced by Five-Star. This includes participating in on-site visits by prospective clients, solicitation of new business, administrate duties, and supervising execution to ensure that our customers receive the proper equipment needed to accomplish their objectives and realize their vision.",3.1,"Five-Star AudioVisual
3.1","San Francisco, CA","Naperville, IL",201 to 500 employees,1995,Company - Private,Audiovisual,"Arts, Entertainment & Recreation",$1 to $5 million (USD),-1
"Event Trainee, Luxury Automotive",$29K-$52K (Glassdoor est.),"THE JOB / Event Trainee,
Luxury Automotive

EXPERIENCES / Responsible for planning and executing event and experiential
marketing programs.

This is a position within the Octagon Marketing Trainee Program.
The Event Trainees will support the execution of a large-scale national
driving program for a luxury automotive client, traveling to different markets
for multiple events across the country! The program will showcase the full
line of the luxury automotive client’s vehicles through a combination of
professional driving instruction on closed courses, test drives on local
routes, and VIP events. Twelve (12) Event Trainees, led by a core account team
based in Stamford, CT, will be tasked with facilitating the set-up and
implementation of these memorable automotive experiences.

Events will take place on both weekdays and weekends;
travel days as well as off days are built into the schedule. The position will
require 100
travel, including working non-traditional hours during weekends,
nights, and holidays, and may include assisting with the transport of the
vehicle fleet.

The right candidate will be
able to work as part of a cohesive team and will interface with various
internal divisions, client partners/vendors, and consumers. This position
offers a unique opportunity to learn on-site logistics and event activation.
Strong team dynamics skills and excellent interpersonal skills are required for
this position.
THE WORK YOU’LL DO
Coordinate
and execute all on-site activities
Responsible
for daily set-up, breakdown, and maintenance of all event equipment
Conduct
participant registration and instruction
Troubleshoot
on-site challenges
Provide
daily test-drive, photography and registration recaps
Rotate
between various activation components on-site
Ensure
that event attendees have a positive and engaging experience
Answer
product related questions
Assist
with upkeep of fleet vehicles
Work
with the core account team on program wrap-up
Keep
organized records of all travel expenses and time tracking
Work/travel
on weekends, holidays and during non-traditional hours
Travel
including driving for extended periods of time in daylight and some
evenings
Other
related duties as reasonably assigned
THE BIGGER TEAM YOU’LL JOIN

Where
others see complexity, we see possibility.

Octagon is the global sports,
entertainment and experiential marketing arm of the Interpublic Group. But if
that classification doesn’t do it for you, and it shouldn’t, let’s take it a
step further.

We are what we believe. And we believe
that while the world of sports and entertainment is full of opportunities and
possibilities, sometimes the amount of choice can seem a little overwhelming.
Even daunting.
That’s where we come into play.

At Octagon we inspire brands, talent, and
our people to see the world for all its potential. We then help break down the
complexity and push forward so you can make your next right move.
WHO WE’RE LOOKING FOR
You
have a passion for and expertise in sports, entertainment, gaming, music
and/or celebrity culture
Passion
for luxury automotive a strong plus
Bachelor’s
degree in a related field
0-1
years’ work or internship experience in events or a customer-service
oriented role
Basic
knowledge of event management is a plus
At
least 21 years of age
Desire
to learn and develop a career in event marketing
Excellent
verbal communication skills
Presentation
or public speaking experience a plus
Personality
traits: confident, engaging, hardworking and articulate
Capacity
to become knowledgeable on our client’s industry, brand and product
offerings
Ability
and comfort level to communicate with consumers, potential consumers or
fans in an event setting
Willingness
to travel extensively (including weekends) for weeks at a time
Valid
driver’s license and clean driving record
Strong
ability to work as part of a team, demonstrate initiative and solve
problems effectively and independently
Octagon is proud to be an Equal
Opportunity/Affirmative Action employer. All qualified applicants will receive
consideration for employment without regard to race, color, religion, sex,
sexual orientation, gender identity, national origin, citizenship, disability,
protected veteran status, or any other basis prohibited by law.",3.9,"Octagon
3.9","Dallas, TX","Stamford, CT",501 to 1000 employees,1983,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"IMG Worldwide, WME, GMR Marketing"
Events Manager,$29K-$52K (Glassdoor est.),"Events Manager
New YorkMarketingExperienced
Responsibilities
About TikTok
Our mission is to inspire creativity and bring joy.
We have global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul, and Tokyo.

We are seeking a talented and enthusiastic Events Manager to join our growing Marketing team.
As an Events Manager, you will be tasked with building brand equity through event experiences, accelerating sales pipeline and promoting TikTok’s culture and values. The ideal candidate has a deep passion for events and a hands-on approach.
This is a highly cross-functional role that will partner closely with stakeholders across Marketing, Sales, Communications, Operations and more to bring activations to life and achieve organizational goals.

Responsibilities:
•Ensure TikTok’s event experiences bring the TikTok brand to life and align with business priorities, executive vision, product roadmaps and event messaging pillars
•Work with cross-functional teams to ensure positioning, goals, deliverables, and tactics are achieved before, during, and after each event, both at the messaging and client experience levels
•Manage a diverse portfolio of event activations that create a differentiated experience - from tradeshows and conferences to VIP receptions and speaking engagements
•Lead the event agency/sponsor relationships and build processes for repeatable/future event activities
•Own all aspects of event coordination including strategy, objectives, asset creation, event messaging, on-site production, logistics, etc.
•Track results and impact of all event activity, optimizing future events accordingly
Qualifications
•5-7 years of the event, experiential, brand and/ or field marketing experience
•Excellent project management experience, including experience managing budgets and ability to manage and execute multiple projects simultaneously
•Strong stakeholder management skills and comfortable managing expectations and keeping teams on track
•Ability to work across various levels of the organization to build trust and foster collaboration
•Deep understanding of marketing/sales funnel and methods by which to increase opportunities
•Strong foundational knowledge of tracking, measuring and reporting on ROI
•A proactive approach to handling any challenges that might arise and the ability to quickly troubleshoot
•Collaborative attitude and a strong eye for detail
•Ability to work well under pressure with tight deadlines
•Bachelor’s degree required
Apply
Share to",4.0,"TikTok
4.0","New York, NY","Los Angeles, CA",1001 to 5000 employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
Senior Event Producer,$29K-$52K (Glassdoor est.),"Event Production Coordinator


Overview: Full Time

Office: 1201 N Main Street

Level: Junior

Reporting to: Dir. West Coast Production

The event production coordinator will be the main support for the hub for all production elements within the company handling any and all tasks both big and small to ensure production is running smoothly for all of our events.

Vibes:
Thrive in small team environment; self starter and time management wiz!
You must LOVE work and be passionated about your career.
Account management skills; able to manage multiple sponsor relationships at once ensuring their production needs are met with 110% enthusiasm, client facing skill or agency work a plus!
Ability to manage budgets from start to finish ensuring we are meeting budget goals, working closely with accounting team on fulfilling and overseeing budgets
Down to work! We are a startup so weekends and late nights are par for the course;
All hands on deck mentality where you are eager and willing to jump in and help to get the job done!
Thrives in a fast paced environment and can make decisions quickly
Logistical wizard with a passion for spreadsheet, crunching the numbers and attention to detail
Role:
Oversee and support all production related events and activations ranging from small scale influencer dinners to our large scale conferences
Maintaining in kind Sponsor Database daily and updating sponsor mailing list
Coordinating and scheduling sponsor calls as relevant
Keeping notes on all client calls and following up
Organizing vendor quotes and ensuring all items related to event are completed
Budget Management and organization
Registration
Working with coordinator on registration details and help streamlining badge process
In Kind sponsorship
Outreaching and coordinating in kind sponsors for event
Gift Bag inclusions
Outreaching and coordinating in kind sponsors for gift bags
Sponsor Relationships
Ability to communicate effectively and promptly
Awesome email skills
Organization of production in relation to sponsors
Outreach for in kind sponsors
timelines and work backs
Pop up build on site
Pure Event Production and loving getting your hands dirty!
Sourcing Vendors (AV, Floral, Catering, Staffing)
Permitting
Gathering Quotes
Handling Floorplans
Leveraging In Kind Sponsors
ROS creation
Vendor communication
Budget management
Fabrication sourcing
Creative ideation
On Site Coordination
Set up / Strike
Proficiency with google docs, dropbox and keynote a plus!
Perks:
Travel- we travel quite often!
Benefits - We offer health benefits and 401k
Swag- lots of free goodies :)
Creativity and team forward environment
To apply, please send a brief intro, a link to your portfolio and your resume to hr@createcultivate.com with the subject line: Event production coordinator",1.8,"Create & Cultivate
1.8","Los Angeles, CA","Los Angeles, CA",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
"Brand Activation Manager, Absolut, Malibu, & Kahlua",$29K-$52K (Glassdoor est.),"Position Title: Brand Activation Manager

Position Location: Remote

Position Summary:
An opportunity to work on an outstanding portfolio of brands which contribute significantly to the over all volume and profitability of Pernod Ricard USA. Portfolio includes: Absolut Vodka, Malibu Rum, and Kahlua Coffee Liqueur. All three brands have a strong innovation strategy and a trade advocacy force of 130+ individuals; this represents an opportunity to build and execute programming with a high level of impact and reach.

The Brand Activation Manager will play a critical role on the headquarters marketing team as the bridge between strategic planning and in market execution. As a key representative of all 4 brands, this individual must be highly skilled communicator with the business acumen to collaborate with and influence various cross functional stakeholders (i.e. PRUSA Sales, Field Activation, Chains Division, Brand Marketing, Finance, upper level Sales and Marketing management, Operations and Support Agencies).

The Brand Activation Manager Spirits Marketing is responsible for the delivery in market of “Below the Line” strategies & programs, in line with each brand’s strategy and is responsible for assisting the field to ensure these programs are tailored to channels and markets’ needs.

He/She is also in charge of leading communication to the Chain group and supporting the Chain team.

Major Responsibilities / Accountabilities:
Provide support and guidance to the Sales teams for the localization & market-level execution of brand plans through a regular communication flow. Ensure activation playbooks, priority calendars and selling tools are catered to relevant channels & subchannels allowing for effective localization.
Ensure upfront alignment with Sales teams, by integrating their feedback and needs early in the process, through regular communication and also direct in Market field observation.
Manage a portion of the priority market A&P budgets across the portfolio in partnership with the Market Activation Managers and Directors. Ensure that A&P is optimized in each market to deliver against the annual plan objectives.
Analyze performance of each program and derive learnings from it, in collaboration with Brand Marketing and Sales teams.
Define role, objectives, KPIs and priorities for sampling agency. Monitor their activity and provide them with regular support and information on each brand’s priorities throughout the year.
Analyze competitors’ activations, in collaboration with Sales teams across different Markets.
The role requires a deep understanding of the U.S. On-Premise & Off-Premise universe and dynamics, as well as wide knowledge of Adult Beverage brand activations in that channel. It also expects strong relationships, communication and influence with internal stakeholders, namely Brand Marketing teams, Division/Chains/Field Marketing & Sales teams, Digital and Prestige teams, as well as with external agencies. Individual should have a working knowledge of digital marketing (Social, Ecomm, etc).
This position may travel up to 30% of the time.

Requirements:
Bachelor’s degree in marketing, business or related field. MBA is a plus.
Minimum of 4-5 years' experience, minimum 2 years U.S. Adult Beverage experience. Trade Marketing, Marketing or Sales experience required. Strong presentation / communication skills.
Preferred:
Experience in developing brand activations.
Experience in managing agencies.
Experience in managing Experiential Agencies.
Experience in Adult beverage sales.
Experience in project management and ability to work within a cross-functional team of diverse stakeholders.
Event and/or experiential marketing a plus.
Proficiency in Microsoft Office Suite; particularly skillful in Excel & PowerPoint
Fluency in written and spoken English
Who are we?

Pernod Ricard USA is the premium spirits and wine company in the U.S. The company's leading spirits and wines include such prestigious brands as ABSOLUT® Vodka, Chivas Regal® Scotch Whisky, The Glenlivet® Single Malt Scotch Whisky, Jameson® Irish Whiskey, Malibu®, Kahlúa® Liqueur, Beefeater® Gin, and Avión™ Tequila (through a joint venture with Tequila Avión); such superior wines as Jacob's Creek® and Brancott Estate®; and such exquisite champagnes and sparkling wines as Perrier-Jouët® Champagne, G.H. Mumm™ Champagne and Mumm Napa® sparkling wines. Learn more about our history, values, strategies and organization by visiting us athttp://www.pernod-ricard-usa.com/

Working at Pernod Ricard

Working for Pernod Ricard USA means working for the co-leader in the global wines and spirits industry – and having the opportunity to work with great people and great brands in diverse and challenging roles. Our success is the result of the passion and creativity of our people, our exceptional portfolio of leading premium brands, and a shared commitment to our values of entrepreneurship, mutual trust, and a strong sense of ethics. Pernod Ricard USA rewards both individual initiative and a spirit of collaboration, and encourages ongoing professional development. Pernod Ricard USA recognizes the importance of continuously building upon our diverse workforce and inclusive culture. We believe in championing an inclusive culture that embraces differences and encourages employees to challenge themselves and their colleagues.

Benefits

Pernod Ricard USA offers competitive compensation, performance bonuses and domestic & international career development opportunities.

* Pernod Ricard USA is an Equal Opportunity Employer of Minorities, Females, Protected Veterans, and Individuals with Disabilities.

* Offers will be subject to United States local terms.",3.6,"Pernod Ricard USA
3.6",Remote,"New York, NY",1001 to 5000 employees,1975,Subsidiary or Business Segment,Food & Beverage Manufacturing,Manufacturing,$100 to $500 million (USD),"Diageo, Beam Global Spirits & Wine"
Event Manager,$29K-$52K (Glassdoor est.),"Position Summary:
The duties and responsibilities of an Event Manager center on planning and managing events of varying sizes and purposes. Managers must demonstrate the understanding of what it takes to make sure event logistics are flawlessly executed upon, keeping everything within the allocated budget and ensuring that the event itself is carried out smoothly.
The Event Manager must possess an extensive skill set and qualifications that work together to manage events efficiently. The following are the specific skills and qualifications required for the Event Manager to be successful:
Communication and Interpersonal Skills: The Event Manager is required to network with a wide variety of entities in the course of their job. Vendors and venues must be established, and an entire staff must be managed in order for an event to function properly. They will need to have a general knowledge of what our guests expect.
Team Management: The Event Manager will carry out many tasks on their own, but a major aspect of the job is working with a team. Delegating to a team properly and making sure everyone has what they need to do their job requires team management and leadership skills.
Budgeting: The Event Manager will be responsible for keeping costs within the allocated budget. This will require a degree of financial skill as well as the ability to create accurate reports.
Logistics: The Event Manager must possess a degree of skill in logistics to properly plan the details, track progress, measure results, and anticipate potential problems that may arise.
The position supports the mission of the organization by demonstrating excellent interpersonal skills and incorporating sound customer service fundamentals for the Cardone Ventures team and its clients.
About Cardone Ventures:
This company operates nationally and is growing by the day. You’ll be an integral part of our growth as you help to streamline existing recruitment and HR processes. You will enjoy working for a true leader in the industry alongside a very supportive team of business professionals. Our core values are the backbone of our business; we are inspirational, accountable, transparent, disciplined, intentional, and results oriented.
Performance Objectives:
Maintaining and monitoring event plans, event schedules, work hours, budgets and expenditures.
Establishing and maintaining relationships with vendors and venues
Planning event details and aspects, including seating, dining, and guests
Remaining under budget with all costs
Managing events and addressing potential problems that may arise
Planning for potential scenarios that could impact the integrity of the event
Maintaining a working knowledge of the complex needs of a wide variety of events
Organizing, attending and participating in stakeholder meetings in regard to event.
Documenting and following up on important actions and decisions from meetings.
Preparing necessary presentation materials for event meetings.
Ensuring event project deadlines are met.
Ensuring projects adhere to frameworks and all documentation is maintained appropriately for each project.
Assess event risks and issues and provide solutions where applicable.
Create and maintain the events management calendar.
Capabilities/Key Competencies:
Demonstrated excellence in organization, planning, problem solving, decision making, communication, project management and effective management of resources.
File management, transcription, and other administrative procedures.
Ability to work on tight deadlines.
Ability to be a self-starter and work independently with minimal supervision.
Skills in database management and record keeping.
Must be able to analyze information, identify solutions, and resolve problems in a timely manner.
Excellent interpersonal skills that allow effective working relationships with a diverse customer, colleague, and vendor population.
Excellent computer skills in a Microsoft Office environment including Word, Excel, PowerPoint, and Outlook; Google Drive including Notes, Sheets, Slides, and Gmail.
Creative thought, critical thinking, and analytical skills.
Team orientation and strong collaborator.
Peer leadership and influence.
Exemplary oral and written communication skills.
Education & Experience:
Bachelor’s degree in business or related field of study preffered
3+ years experience in events, project managment, or related field

Physical Requirements:
Prolonged periods sitting at a desk and working on a computer.
Travel up to 50% of the time

Commitment to Diversity
As an equal opportunity employer committed to meeting the needs of a multigenerational and multicultural workforce Cardone Ventures recognizes that a diverse staff, reflective of our community, is an integral and welcome part of a successful and ethical business. We hire local talent at all levels regardless of race, color, religion, age, national origin, gender, gender identity, sexual orientation or disability, and actively foster inclusion in all forms both within our company and across interactions with clients, candidates and partners.
If this position caught your eye, send us your resume! For best consideration, include the job title and source where you found this position in the subject line of your email to careers@cardoneventures.com. Already a Cardone Ventures candidate? Please connect directly with your recruiter to discuss this opportunity.",5.0,"Cardone Ventures
5.0","Vancouver, WA","Aventura, FL",1 to 50 employees,-1,Unknown,-1,-1,Unknown / Non-Applicable,-1
